Designator,Mid X,Mid Y,Rotation,Layer
D1,59.0,-93.0,0.0,top
D10,77.0,-81.0,0.0,top
D11,112.0,-84.0,0.0,top
D12,96.0,-87.0,0.0,top
D13,78.0,-63.0,0.0,top
D14,95.0,-83.0,0.0,top
D15,95.0,-73.0,0.0,top
D16,78.0,-55.0,0.0,top
D17,129.0,-109.0,0.0,top
D18,96.0,-95.0,0.0,top
D19,96.0,-91.0,0.0,top
D2,77.0,-77.0,0.0,top
D20,113.0,-96.0,0.0,top
D21,60.0,-75.0,0.0,top
D22,59.0,-85.0,0.0,top
D23,61.0,-81.0,0.0,top
D24,60.0,-71.0,0.0,top
D25,60.0,-97.0,0.0,top
D26,60.0,-57.0,0.0,top
D27,113.0,-92.0,0.0,top
D28,62.0,-101.0,0.0,top
D29,96.0,-56.0,0.0,top
D3,62.0,-105.0,0.0,top
D30,106.0,-59.0,0.0,top
D31,144.0,-93.0,0.0,top
D32,113.0,-51.0,0.0,top
D33,60.0,-53.0,0.0,top
D34,78.0,-69.0,0.0,top
D35,95.0,-79.0,0.0,top
D36,43.0,-91.0,0.0,top
D37,102.0,-55.0,0.0,top
D38,112.0,-59.0,0.0,top
D39,108.0,-55.0,0.0,top
D4,59.0,-89.0,0.0,top
D40,112.0,-80.0,0.0,top
D41,112.0,-110.0,0.0,top
D42,64.0,-115.0,0.0,top
D43,129.0,-115.0,0.0,top
D44,43.0,-100.0,0.0,top
D45,63.0,-110.0,0.0,top
D46,135.0,-115.0,0.0,top
D47,96.0,-110.0,0.0,top
D48,144.0,-110.0,0.0,top
D49,112.0,-76.0,0.0,top
D5,96.0,-99.0,0.0,top
D50,112.0,-88.0,0.0,top
D51,113.0,-100.0,0.0,top
D52,129.0,-101.0,0.0,top
D53,92.0,-141.0,0.0,top
D54,129.0,-97.0,0.0,top
D55,114.0,-123.0,0.0,top
D56,129.0,-93.0,0.0,top
D57,129.0,-105.0,0.0,top
D58,110.0,-114.0,0.0,top
D59,110.0,-119.0,0.0,top
D6,98.0,-106.0,0.0,top
D60,129.0,-127.0,0.0,top
D61,106.0,-107.0,0.0,top
D62,129.0,-119.0,0.0,top
D63,113.0,-104.0,0.0,top
D64,135.0,-119.0,0.0,top
D65,144.0,-102.0,0.0,top
D66,144.0,-106.0,0.0,top
D67,106.0,-157.0,0.0,top
D68,129.0,-123.0,0.0,top
D7,77.0,-59.0,0.0,top
D8,77.0,-85.0,0.0,top
D9,78.0,-73.0,0.0,top
SW1,137.16,-102.77,0.0,top
